date,goal
10/01/17,99.8
11/01/17,100.12
12/01/17,100.32
01/01/18,100.08
02/01/18,100.12
03/01/18,100.12
04/01/18,100.32
05/01/18,100.35
06/01/18,100.74
07/01/18,101.28
08/01/18,100.27
09/01/18,100.24
10/01/18,99.94
11/01/18,100
12/01/18,100.42
01/01/19,101.13
02/01/19,100.2
03/01/19,100.13
04/01/19,100.21
05/01/19,100.39
06/01/19,100.6
07/01/19,100.93
08/01/19,100.18
09/01/19,99.77
10/01/19,99.82
11/01/19,100.11
12/01/19,100.24
01/01/20,100.24
02/01/20,100.37
03/01/20,100.09
04/01/20,100.12
05/01/20,100.46
06/01/20,100.12
07/01/20,100.99
08/01/20,100.37
09/01/20,99.58
10/01/20,99.87
11/01/20,100.05
12/01/20,100.42
01/01/21,100.38
02/01/21,100.44
03/01/21,100.37
04/01/21,100.22
05/01/21,100.44
06/01/21,100.76
07/01/21,100.88
08/01/21,100.32
09/01/21,100
10/01/21,100.01
11/01/21,100.81
12/01/21,100.26
01/01/22,100.76
02/01/22,101.13
03/01/22,103.99
04/01/22,101.07
05/01/22,99.68
06/01/22,100.88
07/01/22,101.41
08/01/22,100.05
09/01/22,100.51
10/01/22,100.24
11/01/22,100.76
12/01/22,102.04
01/01/23,101.01
02/01/23,100.72
03/01/23,100.97
04/01/23,100.79
05/01/23,101.13
06/01/23,100.83
07/01/23,100.48
08/01/23,99.68
09/01/23,100.61
10/01/23,100.48
11/01/23,101.23
12/01/23,100.1
01/01/24,100.78
02/01/24,101.06
03/01/24,100.83
04/01/24,100.62
05/01/24,101.53
06/01/24,101.06
07/01/24,102.86
